"study","PFAS","mean_kup","mean_kel","N"
2,"F-53B",0.11,0.05,4
4,"F-53B",39.7666666666667,0.05,3
4,"OBS",62.5333333333333,0.24,3
5,"PFBA",1.75,1.61,1
6,"PFBA",0.61,1.06,1
9,"PFBA",1.66,0.08,2
4,"PFBS",0.85,0.34,3
5,"PFBS",1.59,1.38,1
6,"PFBS",1.8,1.21,1
7,"PFBS",1.81,1.1,1
8,"PFBS",1.725,0.82,2
9,"PFBS",4.23,0.185,2
5,"PFDA",20.4,0.17,1
6,"PFDA",41.9,0.03,1
7,"PFDA",38.1,0.03,1
8,"PFDA",39.8,0.04,1
9,"PFDA",433.5,0.01,2
5,"PFDoA",99.9,0.19,1
6,"PFDoA",162,0.01,1
7,"PFDoA",179,0.02,1
8,"PFDoA",179,0.02,1
9,"PFDoA",698.5,0.01,2
9,"PFDPA",12.45,0.05,2
5,"PFHpA",5.03,0.88,1
6,"PFHpA",5.87,0.78,1
7,"PFHpA",5.38,0.76,1
8,"PFHpA",4.915,0.64,2
5,"PFHxA",2.39,1.37,1
6,"PFHxA",2.95,1.47,1
7,"PFHxA",2.59,1.41,1
8,"PFHxA",2.49,1.025,2
9,"PFHxA",1.285,0.13,2
9,"PFHxPA",1.62,0.0025,2
4,"PFHxS",4.81666666666667,0.183333333333333,3
9,"PFHxS",18.35,0.075,2
5,"PFNA",28.1,0.33,1
6,"PFNA",18.9,0.05,1
7,"PFNA",15.2,0.05,1
8,"PFNA",19.3,0.1,1
9,"PFNA",109.8,0.055,2
1,"PFOA",0.02,0.1,1
3,"PFOA",3.67,0.12,1
6,"PFOA",7.56,0.15,1
7,"PFOA",7.41,0.15,1
8,"PFOA",9.33,0.26,1
9,"PFOA",16.05,0.205,2
9,"PFOPA",5.09,0.005005,2
4,"PFOS",32.4333333333333,0.05,3
6,"PFOS",37.6,0.02,1
7,"PFOS",40.2,0.02,1
8,"PFOS",41.3,0.03,1
9,"PFOS",141.1,0.02,2
5,"PFPeA",1.74,1.18,1
6,"PFPeA",1.45,1.72,1
7,"PFPeA",1.36,1.65,1
8,"PFPeA",1.12,1.12,2
9,"PFTeDA",7865,0.011,2
9,"PFTrDA",1509,0.01,2
5,"PFUnA",47,0.16,1
6,"PFUnA",61.9,0.03,1
7,"PFUnA",62.9,0.03,1
8,"PFUnA",64.7,0.03,1
9,"PFUnA",454,0.01,2
